,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
,■,■,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,■,■,
,■,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,■,
,■,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,■,
,■,  ,◢ ,〓,〓,〓,  ,〓,  ,〓,  ,◢ ,〓,〓, ◣,  ,〓,〓, ◣,■,
,■,■,×,  ,  ,  ,  ,  ,  ,  ,  ,  ,×,×,  ,  ,  ,⁙⁙,  ,■,
,  ,  ,  ,〓,〓,  ,  ,〓,×,〓,  ,  ,〓,〓,  ,  ,〓,〓, ◤,  ,
,  ,  ,  ,  ,  ,×,  ,  ,  ,  ,  ,  ,×,×,  ,  ,  ,  ,  ,  ,
,  ,  ,〓,〓,〓, ◤,  ,〓,  ,〓,  ,◥ ,〓,〓, ◤,  ,〓,  ,  , 
