  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
,■,■,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,■,■,
,■,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,■,
,■,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,■,
,■,  ,⁛⁛,  ,⁛⁛,  ,⁛⁛,⁛⁛,⁛⁛,  ,⁛⁛,  ,  ,  ,⁛⁛,⁛⁛, ◣,  ,  ,■,
,■,■,⁛⁛,  ,⁛⁛,  ,⁛⁛,  ,  ,  ,⁛⁛,  ,▒▒,  ,⁛⁛,×,⁛⁛,■,■,■,
,  ,  ,⁛⁛,×,⁛⁛,  ,⁛⁛,⁛⁛, ⁙,  ,⁛⁛,  ,▒▒,  ,⁛⁛,⁛⁛, ◤,  ,  ,  ,
,  ,  ,⁛⁛,  ,⁛⁛,  ,⁛⁛,  ,  ,  ,⁛⁛,  ,  ,  ,⁛⁛,  ,  ,  ,  ,  ,
,  ,  ,⁛⁛,  ,⁛⁛,  ,⁛⁛,⁛⁛,⁛⁛,  ,⁛⁛,⁛⁛,⁛⁛,  ,⁛⁛,  ,◆,◆,◆, ,
